#OTU ID,632.Arctic.Tundra.1,632.Arctic.Tundra.2,632.Wetland.soil,632.Tar.sand.1,632.Northern.peatlands,632.Temperate.deciduous.forest,632.Temperate.rain.forest,632.Boreal.coniferous.forest,632.Tar.sand.2,632.Agricultural.soil.wheat,632.Agricultural.soil.soy,632.UW.community.garden,632.Compost,
919806,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,
4203048,144.0,124.0,15.0,882.0,8.0,50.0,39.0,37.0,110.0,102.0,646.0,0.0,0.0,
171356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
4478426,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
813142,1.0,0.0,1.0,0.0,0.0,107.0,0.0,0.0,0.0,283.0,148.0,0.0,0.0,
4454034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,
1723981,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,
813145,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
813632,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,12.0,0.0,0.0,
934557,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
923745,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
238503,0.0,3.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4368136,0.0,0.0,4.0,2.0,0.0,6.0,1.0,0.0,0.0,3.0,22.0,0.0,0.0,
4397100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,0.0,0.0,
2847584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
590252,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,23.0,0.0,0.0,
4428618,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4397109,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
499834,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
1138919,1.0,0.0,3.0,0.0,0.0,0.0,1.0,13.0,9.0,3.0,0.0,0.0,0.0,
589372,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,
533097,15.0,6.0,5.0,11.0,6.0,10.0,2.0,0.0,0.0,6.0,18.0,0.0,0.0,
1136183,389.0,656.0,1.0,596.0,0.0,1308.0,19.0,8.0,159.0,2566.0,17199.0,0.0,0.0,
807206,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
582859,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1018359,5.0,8.0,0.0,2.0,0.0,9.0,0.0,2.0,15.0,36.0,21.0,0.0,0.0,
553648,5.0,2.0,0.0,3.0,0.0,18.0,1.0,1.0,19.0,10.0,15.0,0.0,0.0,
276290,19.0,8.0,413.0,4.0,31.0,51.0,365.0,4.0,3.0,23.0,15.0,0.0,0.0,
258127,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
4402589,4.0,5.0,6.0,83.0,46.0,21.0,13.0,1.0,14.0,8.0,62.0,0.0,0.0,
643163,0.0,4.0,4.0,0.0,0.0,12.0,17.0,13.0,2.0,2.0,33.0,0.0,0.0,
576508,2.0,0.0,1.0,0.0,1.0,41.0,1.0,0.0,3.0,42.0,52.0,0.0,0.0,
4341734,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,35.0,4.0,16.0,0.0,0.0,
733269,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4454258,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,
2325156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
73276,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4458184,0.0,0.0,0.0,33.0,0.0,4.0,0.0,0.0,20.0,44.0,58.0,0.0,0.0,
4458189,23.0,28.0,1.0,8.0,0.0,56.0,0.0,0.0,7.0,162.0,1300.0,0.0,0.0,
4458188,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,6.0,4.0,0.0,0.0,
619602,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
